Abacion magnum
Abaeis nicippe
Abax parallelepipedus
Abalistes stellaris
Abbottina rivularis
Abdopus aculeatus
Abelia chinensis
Abelmoschus ficulneus
Abelia grandiflora
Abelmoschus manihot
Abies alba
Abies balsamea
Abies beshanzuensis
Abies bracteata
Abies concolor
Abiotrophia defectiva
Abies firma
Abies fraseri
Abisara fylloides
Abies grandis
Abies holophylla
Abies homolepis
Abies koreana
Abies lasiocarpa
Abies magnifica
Abies mariesii
Abies nebrodensis
Abies nordmanniana
Abies sachalinensis
Abies veitchii
Ablepharus budaki
Ablennes hians
Ablepharus kitaibelii
Abrothrix andinus
Abrocoma bennettii
Abramis brama
Abronia graminea
Abrothrix jelskii
Abrothrix longipilis
Abrothrix olivaceus
Abrophyllum ornans
Abrus precatorius
Abraxas sylvata
Absidia glauca
Absidia spinosa
Abudefduf saxatilis
Abudefduf sexfasciatus
Abutilon theophrasti
Abudefduf vaigiensis
Abyssocottus korotneffi
Acanthophis antarcticus
Acanthoscelides argillaceus
Acanthospermum australe
Acanthurus bahianus
Acanthopagrus berda
Acanthidops bairdii
Acanthocobitis botia
Acanthaster brevispinus
Acanthopagrus butcheri
Acanthaluteres brownii
Acanthamoeba castellanii
Acanthurus coeruleus
Acanthurus chirurgus
Acantopsis choirorhynchos
Acalypha californica
Acanthochitona crinita
Acacia confusa
Acanthosaura capra
Acanthosoma crassicaudum
Acartia clausii
Acanthophlebia cruentata
Acantholipes circumdata
Acar domingensis
Acanthus ebracteatus
Acanthodactylus erythrurus
Acanella eburnea
Acanthis flammea
Acanthoscurria gomesiana
Acar gradata
Acanthurus guttatus
Acanthis hornemanni
Acanthiza katherina
Acanthopagrus latus
Acanthurus leucosternon
Acanthurus lineatus
Acalolepta luxuriosa
Acaryochloris marina
Acanthophippium mantinianum
Acanthemblemaria maria
Acacia mangium
Acacia myrtifolia
Acanthoscurria natalensis
Acanthurus nigricans
Acanthurus nigrofuscus
Acanthurus nigroris
Acanthoscelides obtectus
Acanthoscelides obvelatus
Acanthoscurria paulensis
Acartia pacifica
Acanthodiaptomus pacificus
Acanthodoris pilosa
Acanthaster planci
Acanthamoeba polyphaga
Acar plicata
Acalypha rhomboidea
Acanthoscurria rondoniae
Acanthagenys rufogularis
Acanthemblemaria aspera
Acanthopagrus schlegelii
Acanthophis rugosus
Acarus siro
Acanthemblemaria spinosa
Acanthocybium solandri
Acanthinucella spirata
Acanthurus thompsoni
Acartia tonsa
Acanthurus triostegus
Acanthocardia tuberculata
Acanthopteroctetes unifascia
Acanthocheilonema viteae
Acalymma vittatum
Acarapis woodi
Accipiter cooperii
Accipiter gentilis
Accumulibacter phosphatis
Accipiter striatus
Acetobacter aceti
Acetabularia acetabulum
Acetothermus autotrophicum
Acetohalobium arabaticum
Acer buergerianum
Acer campestre
Acentrogobius chlorostigmatoides
Acetabularia crenulata
Acentrogobius janthinopterus
Acerodon jubatus
Acetomicrobium mobile
Acer monspessulanum
Acer negundo
Acer opalus
Acetobacter pasteurianus
Acetabularia peniculus
Acentrogobius pflaumii
Acer platanoides
Acer palmatum
Acer pseudoplatanus
Acer rubrum
Acer saccharum
Acer saccharinum
Acetoanaerobium sticklandii
Acer spicatum
Acetobacterium woodii
Achatina achatina
Achimenes admirabilis
Achlya ambisexualis
Achyranthes arborescens
Acholeplasma axanthum
Achlya bisexualis
Achelia bituberculata
Achlyodes busirus
Acheilognathus chankaensis
Achipteria coleoptrata
Achromobacter cycloclastes
Achromobacter denitrificans
Acheta domesticus
Achelia echinata
Achatina fulica
